epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2212.94,1.40881,1.17889,1.44009,0.76648,0.62023,0.69985,0.41031,1.50314,1.13286,1.49896,0.005743,0.005743,0.005743
45,2263.87,1.41311,1.18095,1.44724,0.78665,0.63885,0.71893,0.41978,1.49593,1.08795,1.49235,0.005644,0.005644,0.005644
46,2314.65,1.40518,1.17227,1.44619,0.79706,0.62681,0.72053,0.42554,1.48208,1.08545,1.49625,0.005545,0.005545,0.005545
47,2365.31,1.40171,1.15462,1.43395,0.7786,0.64664,0.72512,0.43189,1.46705,1.07088,1.48312,0.005446,0.005446,0.005446
48,2415.78,1.38528,1.14201,1.4262,0.78599,0.64761,0.72303,0.4262,1.48397,1.06428,1.48977,0.005347,0.005347,0.005347
49,2466.38,1.39022,1.14317,1.41935,0.78503,0.64191,0.7247,0.42967,1.47344,1.06481,1.47119,0.005248,0.005248,0.005248
50,2516.29,1.38166,1.12661,1.417,0.78189,0.65299,0.72796,0.4327,1.47122,1.05241,1.47041,0.005149,0.005149,0.005149
51,2566.9,1.36849,1.10532,1.40942,0.79411,0.65372,0.73506,0.43615,1.4654,1.03456,1.46901,0.00505,0.00505,0.00505
52,2617.6,1.37218,1.1064,1.40285,0.80085,0.6598,0.73895,0.43942,1.48082,1.02365,1.47478,0.004951,0.004951,0.004951
53,2667.48,1.36272,1.11653,1.40323,0.80299,0.65724,0.73895,0.4427,1.47039,1.01778,1.46367,0.004852,0.004852,0.004852
54,2717.41,1.3431,1.08327,1.39129,0.82066,0.6537,0.74209,0.44389,1.45681,1.00721,1.45815,0.004753,0.004753,0.004753
55,2767.94,1.35979,1.09749,1.40586,0.79699,0.66448,0.74575,0.4456,1.45281,1.0047,1.45247,0.004654,0.004654,0.004654
56,2818.46,1.34289,1.07255,1.38777,0.81827,0.66236,0.74446,0.44524,1.44882,0.98832,1.44807,0.004555,0.004555,0.004555
57,2868.79,1.35055,1.07188,1.3897,0.80705,0.66262,0.73852,0.44503,1.44773,1.00946,1.45688,0.004456,0.004456,0.004456
58,2918.81,1.33844,1.0715,1.37994,0.81298,0.66172,0.74711,0.44818,1.45617,0.98992,1.44765,0.004357,0.004357,0.004357
59,2969.4,1.32398,1.0576,1.37804,0.82007,0.65747,0.75007,0.45269,1.44112,0.97137,1.44706,0.004258,0.004258,0.004258
60,3019.28,1.32947,1.04176,1.37555,0.81228,0.6671,0.75341,0.45605,1.45002,0.97341,1.44722,0.004159,0.004159,0.004159
61,3069.65,1.32666,1.04442,1.37305,0.80352,0.67445,0.75333,0.46071,1.42097,0.96412,1.42319,0.00406,0.00406,0.00406
